Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
Eukaryota/p_Chlorophyta/c_Trebouxiophyceae/o_Trebouxiales/f_Trebouxiaceae/g_	Trebouxiaceae		PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Trebouxiophyceae/o_Trebouxiales/f_Trebouxiaceae/g_Asterochloris	Asterochloris	Asterochloris erici + Asterochloris sp. Armaleo 7/29/2003 + Asterochloris sp. DA2	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Trebouxiophyceae/o_Trebouxiales/f_Trebouxiaceae/g_Lobosphaera	Lobosphaera	Lobosphaera incisa	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Trebouxiophyceae/o_Trebouxiales/f_Trebouxiaceae/g_Myrmecia	Myrmecia	Myrmecia israeliensis	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Trebouxiophyceae/o_Trebouxiales/f_Trebouxiaceae/g_Symbiochloris	Symbiochloris	Symbiochloris reticulata	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Trebouxiophyceae/o_Trebouxiales/f_Trebouxiaceae/g_Trebouxia	Trebouxia	Trebouxia aggregata + Trebouxia arboricola	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_/f_/g_	Ulvophyceae		NA											Yes
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Bryopsidales/f_/g_	Bryopsidales		NA											Yes
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Bryopsidales/f_Bryopsidaceae/g_Bryopsis	Bryopsis	Bryopsis plumosa	Pluri- or multi-cellular											No
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Bryopsidales/f_Caulerpaceae/g_Caulerpa	Caulerpa	Caulerpa cliftonii	Pluri- or multi-cellular											No
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Bryopsidales/f_Ostreobiaceae/g_Ostreobium	Ostreobium	Ostreobium sp. HV05042	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Cladophorales/f_Cladophoraceae/g_Cladophora	Cladophora	Cladophora rupestris	Pluri- or multi-cellular											No
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Dasycladales/f_Polyphysaceae/g_Acetabularia	Acetabularia	Acetabularia acetabulum + Acetabularia peniculus	Pluri- or multi-cellular											No
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Ignatiales/f_Ignatiaceae/g_Ignatius	Ignatius	Ignatius tetrasporus	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Ulotrichales/f_Sarcinofilaceae/g_Sarcinofilum	Sarcinofilum	Sarcinofilum mucosum	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Ulvales/f_/g_	Ulvales		NA											Yes
Eukaryota/p_Chlorophyta/c_Ulvophyceae/o_Ulvales/f_Ulvaceae/g_Ulva	Ulva	Ulva fasciata + Ulva linza + Ulva partita	Pluri- or multi-cellular											No
Eukaryota/p_Cryptophyta/c_/o_/f_/g_	Cryptophyta		NA											Yes
Eukaryota/p_Cryptophyta/c_/o_/f_/g_Hemiarma	Hemiarma	Hemiarma marina	HET							https://doi.org/10.1111/jeu.12327				Yes
Eukaryota/p_Cryptophyta/c_/o_Cryptomonadales/f_/g_	Cryptomonadales		NA											Yes
Eukaryota/p_Cryptophyta/c_/o_Cryptomonadales/f_Cryptomonadaceae/g_Cryptomonas	Cryptomonas	Cryptomonas curvata + Cryptomonas ovata + Cryptomonas paramecium + Cryptomonas phaseolus	MIXO	CM		"(C. erosa, C. ovata and C. marssonii: Bacterivory)"				https://doi.org/10.1016/j.hal.2017.07.012	https://doi.org/10.1093/plankt/fbl008			Yes
Eukaryota/p_Cryptophyta/c_/o_Cryptomonadales/f_Goniomonadaceae/g_Goniomonas	Goniomonas	Goniomonas pacifica + Goniomonas truncata	HET							https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-018-0593-5				Yes
Eukaryota/p_Cryptophyta/c_/o_Cryptomonadales/f_Hemiselmidaceae/g_Hemiselmis	Hemiselmis	Hemiselmis andersenii + Hemiselmis rufescens + Hemiselmis tepida + Hemiselmis virescens	PHOTO							https://doi.org/10.1093/plankt/fbw029				Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_/g_	Pyrenomonadales		NA											Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Chroomonadaceae/g_Chroomonas	Chroomonas	Chroomonas cf. mesostigmatica + Chroomonas mesostigmatica	PHOTO							https://doi.org/10.1093/plankt/fbw029				Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Geminigeraceae/g_	Geminigeraceae		NA											Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Geminigeraceae/g_Geminigera	Geminigera	Geminigera cryophila	MIXO	CM		ingestion of  beads				https://doi.org/10.1007/s00248-014-0543-x	https://doi.org/10.1111/jeu.12972			Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Geminigeraceae/g_Guillardia	Guillardia	Guillardia theta	PHOTO											Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Geminigeraceae/g_Hanusia	Hanusia	Hanusia phi	PHOTO											Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Geminigeraceae/g_Proteomonas	Proteomonas	Proteomonas sulcata	PHOTO											Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Geminigeraceae/g_Teleaulax	Teleaulax	Teleaulax amphioxeia	MIXO	CM		ingestion of heterotrophic bacteria and Synechococcus sp.				https://doi.org/10.1016/j.hal.2017.07.012	https://doi.org/10.1111/jeu.12972			Yes
Eukaryota/p_Cryptophyta/c_/o_Pyrenomonadales/f_Pyrenomonadaceae/g_Rhodomonas	Rhodomonas	Rhodomonas abbreviata + Rhodomonas lens + Rhodomonas minuta + Rhodomonas salina + Rhodomonas sp. CCMP768	PHOTO											Yes
Eukaryota/p_Euglenozoa/c_/o_/f_/g_	Euglenozoa		NA											Yes
Eukaryota/p_Euglenozoa/c_/o_Diplonemea/f_Diplonemidae/g_	Diplonemidae		NA											Yes
Eukaryota/p_Euglenozoa/c_/o_Diplonemea/f_Diplonemidae/g_Rhynchopus	Rhynchopus	Rhynchopus sp. ATCC 50230	PARA	Facultative				Intracellular parasite	Bacillariophyta	https://doi.org/10.1111/j.1550-7408.2007.00244.x				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_/g_	Kinetoplastida		NA											Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_/g_Perkinsela	Perkinsela	Perkinsela sp. CCAP 1560/4	HET		Obligate Endosymbiosis				Amoebozoa	https://doi.org/10.1128/mBio.01498-15				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Bodonidae/g_	Bodonidae		HET							https://doi.org/10.1073/pnas.1712311114				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Bodonidae/g_Bodo	Bodo	Bodo saltans + Bodomorpha minima	HET											Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Bodonidae/g_Neobodo	Neobodo	Neobodo designis	HET											Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Bodonidae/g_Parabodo	Parabodo	Parabodo caudatus	HET											Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Bodonidae/g_Procryptobia	Procryptobia	Procryptobia sorokini	HET											Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Bodonidae/g_Rhynchobodo	Rhynchobodo	Rhynchobodo ATCC50359	HET											Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_	Trypanosomatidae		PARA	Obligate					Multiple					Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Angomonas	Angomonas	Angomonas deanei + Angomonas desouzai	PARA	Obligate					Insects	https://doi.org/10.1371/journal.pone.0060209				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Herpetomonas	Herpetomonas	Herpetomonas muscarum	PARA	Obligate					Insects	https://doi.org/10.3390/tropicalmed5010025				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Leishmania	Leishmania	Leishmania braziliensis + Leishmania chagasi + Leishmania donovani + Leishmania guyanensis + Leishmania infantum + Leishmania major + Leishmania mexicana + Leishmania panamensis + Leishmania tarentolae	PARA	Obligate	Rare Infection				Mammals	https://doi.org/10.3389/fimmu.2012.00145				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Leptomonas	Leptomonas	Leptomonas pyrrhocoris + Leptomonas seymouri	PARA	Obligate					Insects	https://doi.org/10.2174/1389202918666170815143331				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Paratrypanosoma	Paratrypanosoma	Paratrypanosoma confusum	PARA	Obligate					Mosquitoes	https://doi.org/10.1073/pnas.1712311114				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Phytomonas	Phytomonas	Phytomonas sp. + Phytomonas sp. isolate EM1 + Phytomonas sp. isolate Hart1	PARA	Obligate	Endophyte				Phytopathogen	https://doi.org/10.1371/journal.ppat.1004927				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Strigomonas	Strigomonas	Strigomonas culicis	PARA	Obligate					Mosquitoes	https://doi.org/10.3389/fcimb.2021.732925				Yes
Eukaryota/p_Euglenozoa/c_/o_Kinetoplastida/f_Trypanosomatidae/g_Trypanosoma	Trypanosoma	Trypanosoma brucei + Trypanosoma congolense + Trypanosoma cruzi + Trypanosoma equiperdum + Trypanosoma rangeli + Trypanosoma theileri + Trypanosoma vivax	PARA	Obligate	Rare Infection				Mammals	https://doi.org/10.1016/j.chom.2016.05.002				Yes
Eukaryota/p_Euglenozoa/c_/o_Petalomonadida/f_Scytomonadidae/g_Petalomonas	Petalomonas	Petalomonas cantuscygni	HET											Yes
Eukaryota/p_Euglenozoa/c_/o_Petalomonadida/f_Scytomonadidae/g_Scytomonas	Scytomonas	Scytomonas saepesedens	HET											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_/f_/g_	Euglenida		NA											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_/f_/g_Rapaza	Rapaza	Rapaza viridis	MIXO	CM		Ingestion of Tetraselmis prey cells				https://doi.org/10.1186/1471-2148-12-29	https://doi.org/10.1242/bio.059561			Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_/g_	Euglenales		NA											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_/g_Colacium	Colacium	Colacium sideropus + Colacium vesiculosum	PHOTO		Epibiont									Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Euglenaceae/g_	Euglenaceae		NA											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Euglenaceae/g_Euglena	Euglena	Euglena agilis + Euglena archaeoplastidiata + Euglena clara + Euglena gracilis + Euglena hiemalis + Euglena longa + Euglena sp. BC-2016 + Euglena stellata + Euglena viridis + Euglenaformis proxima + Euglenaria anabaena	PHOTO							https://doi.org/10.1242/bio.059561				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Euglenaceae/g_Euglenaformis	Euglenaformis	Euglenaformis proxima	PHOTO											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Euglenaceae/g_Euglenaria	Euglenaria	Euglenaria anabaena	PHOTO											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Euglenaceae/g_Monomorphina	Monomorphina	Monomorphina ovata + Monomorphina parapyrum + Monomorphina pyrum	PHOTO							https://doi.org/10.1186/1471-2148-14-25				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Euglenaceae/g_Strombomonas	Strombomonas	Strombomonas acuminata	PHOTO											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Euglenaceae/g_Trachelomonas	Trachelomonas	Trachelomonas ellipsoidalis + Trachelomonas volvocina	MIXO	CM		(Trachelomonas sp.)				https://doi.org/10.1002/lno.11144				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Peranemataceae/g_Entosiphon	Entosiphon	Entosiphon sulcatum	HET							https://doi.org/10.1111/j.1550-7408.1987.tb03129.x				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Phacaceae/g_Discoplastis	Discoplastis	Discoplastis spathirhyncha	PHOTO											Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Phacaceae/g_Lepocinclis	Lepocinclis	Lepocinclis tripteris	PHOTO							https://doi.org/10.1016/j.limno.2011.01.002				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Euglenales/f_Phacaceae/g_Phacus	Phacus	Phacus inflexus	PHOTO							https://doi.org/10.1007/978-3-319-54910-1_1	https://doi.org/10.1111/jpy.13028			Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Eutreptiales/f_/g_Eutreptia	Eutreptia	Eutreptia viridis	PHOTO							https://doi.org/10.1016/j.protis.2012.01.002				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Eutreptiales/f_/g_Eutreptiella	Eutreptiella	Eutreptiella gymnastica	MIXO	CM		(E. eupharyngea: feed Synechococcus sp.)				https://doi.org/10.1016/j.hal.2018.02.003				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Eutreptiales/f_Astasiaceae/g_Rhabdomonas	Rhabdomonas	Rhabdomonas costata	HET							https://doi.org/10.1038/s41598-021-92174-3				Yes
Eukaryota/p_Euglenozoa/c_Euglenida/o_Heteronematales/f_Heteronematidae/g_Peranema	Peranema	Peranema sp. CB 131838 + Peranema trichophorum	HET							https://doi.org/10.1242/jcs.s3-91.15.279				Yes
Eukaryota/p_Haptista/c_Centroplasthelida/o_Pterocystida/f_Pterocystidae/g_Chlamydaster	Chlamydaster	Chlamydaster sterni	HET											Yes
Eukaryota/p_Haptista/c_Centroplasthelida/o_Pterocystida/f_Raphidiophryidae/g_Raphidiophrys	Raphidiophrys	Raphidiophrys ambigua + Raphidiophrys contractilis	HET											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_/f_/g_	Haptophyta		NA											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_/f_/g_Chrysoculter	Chrysoculter	Chrysoculter rhomboideus	PHOTO											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Coccolithales/f_/g_	Coccolithales		NA											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Coccolithales/f_Calcidiscaceae/g_Calcidiscus	Calcidiscus	Calcidiscus leptoporus	MIXO	CM		ingestion of fluorescently labelled bacteria by haploid and diploid stages				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Coccolithales/f_Coccolithaceae/g_Coccolithus	Coccolithus	Coccolithus braarudii	MIXO	CM		motile haploid stage is mixoplanktonic upon bacteria-sized particles (Houdan et al 2006)/ diploid stage is not mixoplanktonic (Avrahami & Frada 2020)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Coccosphaerales/f_Pontosphaeraceae/g_Scyphosphaera	Scyphosphaera	Scyphosphaera apsteinii	MIXO	CM		Phago-mixotrophy predicted in silico				https://doi.org/10.1016/j.hal.2022.102292				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Isochrysidales/f_/g_	Isochrysidales		NA											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Isochrysidales/f_Isochrysidaceae/g_	Isochrysidaceae		NA											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Isochrysidales/f_Isochrysidaceae/g_Chrysotila	Chrysotila	Chrysotila carterae	MIXO	CM		DOC assimilation and growth in darkness				https://doi.org/10.1002/lno.11396				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Isochrysidales/f_Isochrysidaceae/g_Isochrysis	Isochrysis	Isochrysis galbana + Isochrysis sp.	MIXO	CM		Bacterivory				https://doi.org/10.3389/fmicb.2018.01704	https://doi.org/10.1111/jeu.12972			Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Isochrysidales/f_Noelaerhabdaceae/g_	Noelaerhabdaceae		NA											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Isochrysidales/f_Noelaerhabdaceae/g_Emiliania	Emiliania	Emiliania huxleyi	MIXO	CM		Bacterivory				https://doi.org/10.1002/lno.11396	https://doi.org/10.1111/jpy.12997			Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Isochrysidales/f_Noelaerhabdaceae/g_Gephyrocapsa	Gephyrocapsa	Gephyrocapsa oceanica	MIXO	CM		DOC assimilation + Phago-mixotrophy predicted in silico				https://doi.org/10.1002/lno.11396	https://doi.org/10.1016/j.hal.2022.102292			Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Pavlovales/f_Pavlovaceae/g_	Pavlovaceae		NA											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Pavlovales/f_Pavlovaceae/g_Exanthemachrysis	Exanthemachrysis	Exanthemachrysis gayraliae	PHOTO							https://doi.org/10.1016/j.hal.2022.102292				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Pavlovales/f_Pavlovaceae/g_Pavlova	Pavlova	Pavlova gyrans + Pavlova lutheri	MIXO	CM		Pavlova sp.: Phago-mixotrophy				https://doi.org/10.3389/fmicb.2018.01704	https://doi.org/10.1016/j.hal.2022.102292			Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Phaeocystales/f_Phaeocystaceae/g_Phaeocystis	Phaeocystis	Phaeocystis antarctica + Phaeocystis cordata	MIXO	CM		(Phaeocystis globosa: Bacterivory)				https://doi.org/10.3389/fmicb.2018.01704	https://doi.org/10.1016/j.hal.2022.102292	https://doi.org/10.1111/jeu.12972		Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Prymnesiales/f_/g_	Prymnesiales		NA							http://dx.doi.org/10.3389/fmicb.2018.01704				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Prymnesiales/f_Chrysochromulinaceae/g_Chrysochromulina	Chrysochromulina	Chrysochromulina parva + Chrysochromulina rotalis + Chrysochromulina tobinii	MIXO	CM		Chrysochromulina spp.: Phago-mixotrophy				https://doi.org/10.3389/fmicb.2018.01704				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Prymnesiales/f_Prymnesiaceae/g_	Prymnesiaceae		NA											Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Prymnesiales/f_Prymnesiaceae/g_Haptolina	Haptolina	Haptolina brevifila + Haptolina ericina	MIXO	CM		(H. brevifila: engulfment) + (H. ericina: ingestion of M. pelliculata)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Prymnesiales/f_Prymnesiaceae/g_Imantonia	Imantonia		MIXO	CM		(Imantonia sp. K-0624: Bacterivory)				https://doi.org/10.3389/fmicb.2017.01398				Yes
Eukaryota/p_Haptista/c_Haptophyta/o_Prymnesiales/f_Prymnesiaceae/g_Prymnesium	Prymnesium	Prymnesium parvum + Prymnesium polylepis	MIXO	CM		"(P. parvum: ingestion of Oxyrrhis marina, unknown chlorococcales, Dunaliella sp., Gyrodinium sp., unknown amoeba) + (P. polylepis: ingestion of eubacteria)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/p_Heterolobosea/c_/o_/f_/g_	Heterolobosea		HET											Yes
Eukaryota/p_Heterolobosea/c_/o_/f_/g_Percolomonas	Percolomonas	Percolomonas cosmopolitus	HET											Yes
Eukaryota/p_Heterolobosea/c_/o_/f_Acrasidae/g_Acrasis	Acrasis	Acrasis kona	HET											Yes
Eukaryota/p_Heterolobosea/c_/o_/f_Psalteriomonadidae/g_Harpagon	Harpagon	Harpagon schusteri	HET											Yes
Eukaryota/p_Heterolobosea/c_/o_/f_Psalteriomonadidae/g_Psalteriomonas	Psalteriomonas	Psalteriomonas lanterna	HET											Yes
Eukaryota/p_Heterolobosea/c_/o_/f_Vahlkampfiidae/g_Naegleria	Naegleria	Naegleria fowleri + Naegleria gruberi + Naegleria sp. NG874	PARA	Facultative	Rare Infection				Human	https://doi.org/10.1093/cid/ciaa520				Yes
Eukaryota/p_Rhodophyta/c_/o_/f_/g_	Rhodophyta		NA											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_/f_/g_	Bangiophyceae		NA											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Bangiales/f_Bangiaceae/g_Porphyra	Porphyra	Porphyra umbilicalis	Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Bangiales/f_Bangiaceae/g_Pyropia	Pyropia	Pyropia yezoensis	Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Cyanidiales/f_Cyanidiaceae/g_	Cyanidiaceae		PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Cyanidiales/f_Cyanidiaceae/g_Cyanidioschyzon	Cyanidioschyzon	Cyanidioschyzon merolae	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Cyanidiales/f_Cyanidiaceae/g_Galdieria	Galdieria	Galdieria sulphuraria	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Porphyridiales/f_Porphyridiaceae/g_	Porphyridiaceae		PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Porphyridiales/f_Porphyridiaceae/g_Erythrolobus	Erythrolobus	Erythrolobus australicus + Erythrolobus madagascarensis	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Porphyridiales/f_Porphyridiaceae/g_Porphyridium	Porphyridium	Porphyridium aerugineum	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Bangiophyceae/o_Porphyridiales/f_Porphyridiaceae/g_Timspurckia	Timspurckia	Timspurckia oligopyrenoides	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Compsopogonophyceae/o_/f_/g_	Compsopogonophyceae		NA											Yes
Eukaryota/p_Rhodophyta/c_Compsopogonophyceae/o_Compsopogonales/f_Boldiaceae/g_Boldia	Boldia	Boldia erythrosiphon	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Compsopogonophyceae/o_Compsopogonales/f_Compsopogonaceae/g_Compsopogon	Compsopogon	Compsopogon caeruleus	Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Compsopogonophyceae/o_Erythropeltidales/f_Erythrotrichiaceae/g_Madagascaria	Madagascaria	Madagascaria erythrocladioides	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Florideophyceae/o_/f_/g_	Florideophyceae		Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Florideophyceae/o_Ceramiales/f_Rhodomelaceae/g_	Rhodomelaceae		Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Florideophyceae/o_Gigartinales/f_Gigartinaceae/g_Chondrus	Chondrus	Chondrus crispus	Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Florideophyceae/o_Gracilariales/f_Gracilariaceae/g_Gracilariopsis	Gracilariopsis	Gracilariopsis andersonii + Gracilariopsis chorda + Gracilariopsis lemaneiformis	Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Florideophyceae/o_Hildenbrandiales/f_Hildenbrandiaceae/g_Apophlaea	Apophlaea	Apophlaea sinclairii	Pluri- or multi-cellular	Rhodophyta										No
Eukaryota/p_Rhodophyta/c_Rhodellophyceae/o_Dixoniellales/f_Dixoniellaceae/g_Bulboplastis	Bulboplastis	Bulboplastis apyrenoidosa	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Rhodellophyceae/o_Rhodellales/f_Rhodellaceae/g_	Rhodellaceae		PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Rhodellophyceae/o_Rhodellales/f_Rhodellaceae/g_Rhodella	Rhodella	Rhodella violacea	PHOTO											Yes
Eukaryota/p_Rhodophyta/c_Stylonematophyceae/o_Stylonematales/f_Stylonemataceae/g_Rhodosorus	Rhodosorus	Rhodosorus marinus	PHOTO											Yes
Eukaryota/p_Streptophyta/c_/o_/f_/g_	Streptophyta		NA											Yes
Eukaryota/p_Streptophyta/c_Bryopsida/o_/f_/g_	Bryopsida		Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Bryopsida/o_Bryales/f_Mniaceae/g_Pohlia	Pohlia	Pohlia nutans	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Bryopsida/o_Funariales/f_Funariaceae/g_Physcomitrella	Physcomitrella	Physcomitrella patens	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Charophyceae/o_Charales/f_Characeae/g_Chara	Chara	Chara australis + Characiochloris acuminata	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Chlorokybophyceae/o_Chlorokybales/f_Chlorokybaceae/g_Chlorokybus	Chlorokybus	Chlorokybus atmophyticus	PHOTO											Yes
Eukaryota/p_Streptophyta/c_Coleochaetophyceae/o_Coleochaetales/f_Chaetosphaeridiaceae/g_Chaetosphaeridium	Chaetosphaeridium	Chaetosphaeridium globosum	PHOTO											Yes
Eukaryota/p_Streptophyta/c_Ginkgoopsida/o_Ginkgoales/f_Ginkgoaceae/g_Ginkgo	Ginkgo	Ginkgo biloba	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Klebsormidiophyceae/o_Klebsormidiales/f_Klebsormidiaceae/g_Interfilum	Interfilum	Interfilum terricola	PHOTO											Yes
Eukaryota/p_Streptophyta/c_Klebsormidiophyceae/o_Klebsormidiales/f_Klebsormidiaceae/g_Klebsormidium	Klebsormidium	Klebsormidium nitens	PHOTO											Yes
Eukaryota/p_Streptophyta/c_Lycopodiopsida/o_/f_/g_	Lycopodiopsida		Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Lycopodiopsida/o_Lycopodiales/f_Lycopodiaceae/g_Huperzia	Huperzia	Huperzia serrata	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Lycopodiopsida/o_Lycopodiales/f_Lycopodiaceae/g_Lycopodium	Lycopodium	Lycopodium clavatum	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Lycopodiopsida/o_Lycopodiales/f_Lycopodiaceae/g_Phlegmariurus	Phlegmariurus	Phlegmariurus squarrosus	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Lycopodiopsida/o_Selaginellales/f_Selaginellaceae/g_Selaginella	Selaginella	Selaginella moellendorffii	Pluri- or multi-cellular											No
Eukaryota/p_Streptophyta/c_Magnoliopsida/o_/f_/g_	Magnoliopsida		Pluri- or multi-cellular	Magnoliopsida										No
Eukaryota/p_Streptophyta/c_Magnoliopsida/o_Alismatales/f_Araceae/g_Amorphophallus	Amorphophallus	Amorphophallus konjac	Pluri- or multi-cellular	Magnoliopsida										No
